[INFO  ] [21:42:16.227132] <   > fastchess --- fastchess alpha 1.4.0 20250702-2a80921
[INFO  ] [21:42:16.227310] <   > fastchess --- Setting seed to: 12625659313421965355
[INFO  ] [21:42:16.227402] <   > fastchess --- Starting tournament...
[Engine] [21:42:16.265719] <  2> Engine1 <--- uci
[Engine] [21:42:16.507136] <  2> Engine1 ---> Welcome to Pertinax by R.Bukaci (github.com/Troan34)
[Engine] [21:42:16.507191] <  2> Engine1 ---> 'help' for commands
[Engine] [21:42:16.507217] <  2> Engine1 ---> id name Pertinax Chess 0.1
[Engine] [21:42:16.507234] <  2> Engine1 ---> id author R.Bukaci (github.com/Troan34)
[Engine] [21:42:16.507249] <  2> Engine1 ---> option name type spin Depth default 10 min 2 max 255
[Engine] [21:42:16.507264] <  2> Engine1 ---> option name type button EngineOn default On
[Engine] [21:42:16.507279] <  2> Engine1 ---> option name type spin Hash default 64 min 1 max 512
[Engine] [21:42:16.507294] <  2> Engine1 ---> option name type button Gui default Off
[Engine] [21:42:16.507308] <  2> Engine1 ---> uciok
[Engine] [21:42:16.552848] <  2> Engine2 <--- uci
[Engine] [21:42:16.789552] <  2> Engine2 ---> Welcome to Pertinax by R.Bukaci (github.com/Troan34)
[Engine] [21:42:16.789624] <  2> Engine2 ---> 'help' for commands
[Engine] [21:42:16.789716] <  2> Engine2 ---> id name Pertinax Chess 0.1
[Engine] [21:42:16.789762] <  2> Engine2 ---> id author R.Bukaci (github.com/Troan34)
[Engine] [21:42:16.789789] <  2> Engine2 ---> option name type spin Depth default 10 min 2 max 255
[Engine] [21:42:16.789808] <  2> Engine2 ---> option name type button EngineOn default On
[Engine] [21:42:16.789826] <  2> Engine2 ---> option name type spin Hash default 64 min 1 max 512
[Engine] [21:42:16.789844] <  2> Engine2 ---> option name type button Gui default Off
[Engine] [21:42:16.789862] <  2> Engine2 ---> uciok
[Engine] [21:42:16.789891] <  2> Engine1 <--- ucinewgame
[Engine] [21:42:16.789928] <  2> Engine1 <--- isready
[Engine] [21:42:16.789979] <  2> Engine1 ---> readyok
[Engine] [21:42:16.790012] <  2> Engine2 <--- ucinewgame
[Engine] [21:42:16.790040] <  2> Engine2 <--- isready
[Engine] [21:42:16.790080] <  2> Engine2 ---> readyok
[Engine] [21:42:16.790109] <  2> Engine1 <--- isready
[Engine] [21:42:16.790147] <  2> Engine1 ---> readyok
[Engine] [21:42:16.790185] <  2> Engine1 <--- isready
[Engine] [21:42:16.790234] <  2> Engine1 ---> readyok
[Engine] [21:42:16.790258] <  2> Engine1 <--- position startpos
[Engine] [21:42:16.790283] <  2> Engine1 <--- isready
[Engine] [21:42:16.790324] <  2> Engine1 ---> readyok
[Engine] [21:42:16.790400] <  2> Engine1 <--- go wtime 60500 btime 60500 winc 500 binc 500
[Engine] [21:42:16.801865] <  2> Engine1 ---> info depth 1 score cp 0 nodes 60 nps 0 hashfull 0 pv a2a4 
[Engine] [21:42:16.815675] <  2> Engine1 ---> info depth 2 score cp 0 nodes 244 nps 0 hashfull 0 pv b1a3 a7a5 
[Engine] [21:42:16.835885] <  2> Engine1 ---> info depth 3 score cp 0 nodes 1674 nps 0 hashfull 0 pv b1a3 a7a5 a3b5 
[Engine] [21:42:17.079310] <  2> Engine1 ---> info depth 4 score cp -8 nodes 27319 nps 0 hashfull 0 pv b1a3 e7e5 a3b1 e5e4 
[Engine] [21:42:18.892575] <  2> Engine1 ---> info depth 5 score cp 0 nodes 279729 nps 139864 hashfull 8 pv b1a3 a7a5 e2e4 a5a4 e4e5 
[Engine] [21:42:18.892677] <  2> Engine1 ---> bestmove b1a3
[Engine] [21:42:18.892715] <  2> Engine1 <--- isready
[Engine] [21:42:18.892764] <  2> Engine1 ---> readyok
[Engine] [21:42:18.892853] <  2> Engine2 <--- isready
[Engine] [21:42:18.892901] <  2> Engine2 ---> readyok
[Engine] [21:42:18.892922] <  2> Engine2 <--- position startpos moves b1a3
[Engine] [21:42:18.892943] <  2> Engine2 <--- isready
[Engine] [21:42:18.892978] <  2> Engine2 ---> readyok
[Engine] [21:42:18.892998] <  2> Engine2 <--- go wtime 58898 btime 60500 winc 500 binc 500
[Engine] [21:42:18.903518] <  2> Engine2 ---> info depth 1 score cp 0 nodes 60 nps 0 hashfull 0 pv a7a5 
[Engine] [21:42:18.917211] <  2> Engine2 ---> info depth 2 score cp 0 nodes 141 nps 0 hashfull 0 pv a7a5 a3b5 
[Engine] [21:42:18.989708] <  2> Engine2 ---> info depth 3 score cp 8 nodes 12504 nps 0 hashfull 0 pv e7e5 a3b1 e5e4 
[Engine] [21:42:19.036876] <  2> Engine2 ---> info depth 4 score cp 0 nodes 4792 nps 0 hashfull 0 pv a7a5 e2e4 a5a4 e4e5 
[Engine] [21:42:22.384817] <  2> Engine2 ---> info depth 5 score cp 10 nodes 464009 nps 154669 hashfull 11 pv e7e5 e2e3 e5e4 a3c4 a7a5 
[Engine] [21:42:22.384920] <  2> Engine2 ---> bestmove e7e5
[Engine] [21:42:22.384950] <  2> Engine2 <--- isready
[Engine] [21:42:22.385030] <  2> Engine2 ---> readyok
[Engine] [21:42:22.385110] <  2> Engine1 <--- isready
[Engine] [21:42:22.385165] <  2> Engine1 ---> readyok
[Engine] [21:42:22.385190] <  2> Engine1 <--- position startpos moves b1a3 e7e5
[Engine] [21:42:22.385216] <  2> Engine1 <--- isready
[Engine] [21:42:22.385257] <  2> Engine1 ---> readyok
[Engine] [21:42:22.385281] <  2> Engine1 <--- go wtime 58898 btime 57509 winc 500 binc 500
[Engine] [21:42:22.400188] <  2> Engine1 ---> info depth 1 score cp 0 nodes 60 nps 0 hashfull 0 pv h2h4 
[Engine] [21:42:22.414046] <  2> Engine1 ---> info depth 2 score cp -8 nodes 374 nps 0 hashfull 0 pv a3b1 e5e4 
[Engine] [21:42:22.436306] <  2> Engine1 ---> info depth 3 score cp 92 nodes 1874 nps 0 hashfull 0 pv a3b5 c7c5 b5a7 
[Engine] [21:42:22.670594] <  2> Engine1 ---> info depth 4 score cp -10 nodes 30270 nps 0 hashfull 1 pv a3b5 e5e4 a2a4 e4e3 
[Engine] [21:42:22.982328] <  2> Engine1 ---> info depth 5 score cp 92 nodes 46074 nps 0 hashfull 2 pv a3b5 e5e4 a2a4 c7c5 b5a7 
[Engine] [21:43:10.342948] <  2> Engine1 ---> info depth 6 score cp -100 nodes 6079430 nps 129349 hashfull 59 pv a3b5 a7a6 
[Engine] [21:43:10.343083] <  2> Engine1 ---> bestmove a3b5
[Engine] [21:43:10.343129] <  2> Engine1 <--- isready
[Engine] [21:43:10.343185] <  2> Engine1 ---> readyok
[Engine] [21:43:10.343260] <  2> Engine2 <--- isready
[Engine] [21:43:10.343313] <  2> Engine2 ---> readyok
[Engine] [21:43:10.343334] <  2> Engine2 <--- position startpos moves b1a3 e7e5 a3b5
[Engine] [21:43:10.343356] <  2> Engine2 <--- isready
[Engine] [21:43:10.343394] <  2> Engine2 ---> readyok
[Engine] [21:43:10.343414] <  2> Engine2 <--- go wtime 11441 btime 57509 winc 500 binc 500
[Engine] [21:43:10.364388] <  2> Engine2 ---> info depth 1 score cp 10 nodes 87 nps 0 hashfull 0 pv e5e4 
[Engine] [21:43:10.381240] <  2> Engine2 ---> info depth 2 score cp -92 nodes 266 nps 0 hashfull 0 pv c7c5 b5a7 
[Engine] [21:43:10.447851] <  2> Engine2 ---> info depth 3 score cp 10 nodes 8306 nps 0 hashfull 0 pv e5e4 a2a4 e4e3 
[Engine] [21:43:10.623132] <  2> Engine2 ---> info depth 4 score cp -92 nodes 20107 nps 0 hashfull 0 pv e5e4 a2a4 c7c5 b5a7 
[Engine] [21:43:24.087000] <  2> Engine2 ---> info depth 5 score cp 102 nodes 1850194 nps 142322 hashfull 27 pv g8f6 f2f3 f8a3 b5c3 a3b2 
[Engine] [21:43:24.087118] <  2> Engine2 ---> bestmove g8f6
[Engine] [21:43:24.087168] <  2> Engine2 <--- isready
[Engine] [21:43:24.087223] <  2> Engine2 ---> readyok
[Engine] [21:43:24.087320] <  2> Engine1 <--- isready
[Engine] [21:43:24.087374] <  2> Engine1 ---> readyok
[Engine] [21:43:24.087400] <  2> Engine1 <--- position startpos moves b1a3 e7e5 a3b5 g8f6
[Engine] [21:43:24.087427] <  2> Engine1 <--- isready
[Engine] [21:43:24.087466] <  2> Engine1 ---> readyok
[Engine] [21:43:24.087491] <  2> Engine1 <--- go wtime 11441 btime 44266 winc 500 binc 500
[Engine] [21:43:24.117959] <  2> Engine1 ---> info depth 1 score cp 100 nodes 75 nps 0 hashfull 0 pv b5c7 
[Engine] [21:43:24.132164] <  2> Engine1 ---> info depth 2 score cp -10 nodes 112 nps 0 hashfull 0 pv a2a4 a7a5 
[Engine] [21:43:24.176544] <  2> Engine1 ---> info depth 3 score cp 92 nodes 6242 nps 0 hashfull 0 pv a2a4 c7c6 b5a7 
[Engine] [21:43:24.781326] <  2> Engine1 ---> info depth 4 score cp -102 nodes 60091 nps 0 hashfull 2 pv f2f3 f8a3 b5c3 a3b2 
[Engine] [21:43:24.781424] <  2> Engine1 ---> bestmove f2f3
[Engine] [21:43:24.781464] <  2> Engine1 <--- isready
[Engine] [21:43:24.781513] <  2> Engine1 ---> readyok
[Engine] [21:43:24.781576] <  2> Engine2 <--- isready
[Engine] [21:43:24.781621] <  2> Engine2 ---> readyok
[Engine] [21:43:24.781646] <  2> Engine2 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3
[Engine] [21:43:24.781669] <  2> Engine2 <--- isready
[Engine] [21:43:24.781701] <  2> Engine2 ---> readyok
[Engine] [21:43:24.781721] <  2> Engine2 <--- go wtime 11248 btime 44266 winc 500 binc 500
[Engine] [21:43:24.803740] <  2> Engine2 ---> info depth 1 score cp 10 nodes 81 nps 0 hashfull 0 pv a7a5 
[Engine] [21:43:24.819696] <  2> Engine2 ---> info depth 2 score cp -92 nodes 193 nps 0 hashfull 0 pv c7c6 b5a7 
[Engine] [21:43:24.853177] <  2> Engine2 ---> info depth 3 score cp 10 nodes 3381 nps 0 hashfull 0 pv c7c6 b5c3 g7g5 
[Engine] [21:43:24.881880] <  2> Engine2 ---> info depth 4 score cp 0 nodes 1887 nps 0 hashfull 0 pv c7c6 b5c3 g7g5 a2a4 
[Engine] [21:43:30.905221] <  2> Engine2 ---> info depth 5 score cp 200 nodes 860089 nps 143348 hashfull 15 pv f6d5 b2b4 d5b4 a2a4 b4c2 
[Engine] [21:43:30.905334] <  2> Engine2 ---> bestmove f6d5
[Engine] [21:43:30.905381] <  2> Engine2 <--- isready
[Engine] [21:43:30.905436] <  2> Engine2 ---> readyok
[Engine] [21:43:30.905515] <  2> Engine1 <--- isready
[Engine] [21:43:30.905570] <  2> Engine1 ---> readyok
[Engine] [21:43:30.905606] <  2> Engine1 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5
[Engine] [21:43:30.905636] <  2> Engine1 <--- isready
[Engine] [21:43:30.905676] <  2> Engine1 ---> readyok
[Engine] [21:43:30.905701] <  2> Engine1 <--- go wtime 11248 btime 38643 winc 500 binc 500
